record_id,symbol,date,year,body,vote_type,seq,iso3,country,vote
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,4,EGY,EGYPT,Y
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,5,FRA,FRANCE,N
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,6,GRC,GREECE,Y
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,7,IND,INDIA,Y
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,8,LBN,LEBANON,Y
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,9,MEX,MEXICO,Y
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,10,NOR,NORWAY,Y
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,11,PAK,PAKISTAN,Y
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,12,PHL,PHILIPPINES,Y
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,13,POL,POLAND,Y
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,14,TUR,TURKEY,A
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,15,UKR,UKRAINIAN SSR,Y
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,16,SUN,USSR,Y
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,17,GBR,UNITED KINGDOM,N
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,18,USA,UNITED STATES,Y
24973,E/CN.4/RES/7(XIV),1958-03-28,1958,Commission on Human Rights,RECORDED,1,ARG,ARGENTINA,Y
24973,E/CN.4/RES/7(XIV),1958-03-28,1958,Commission on Human Rights,RECORDED,2,BEL,BELGIUM,Y
24973,E/CN.4/RES/7(XIV),1958-03-28,1958,Commission on Human Rights,RECORDED,3,LKA,CEYLON,A
24973,E/CN.4/RES/7(XIV),1958-03-28,1958,Commission on Human Rights,RECORDED,4,CHN,CHINA,Y
24973,E/CN.4/RES/7(XIV),1958-03-28,1958,Commission on Human Rights,RECORDED,5,FRA,FRANCE,Y
24973,E/CN.4/RES/7(XIV),1958-03-28,1958,Commission on Human Rights,RECORDED,6,IND,INDIA,A
24973,E/CN.4/RES/7(XIV),1958-03-28,1958,Commission on Human Rights,RECORDED,7,IRN,IRAN (ISLAMIC REPUBLIC OF),Y
24973,E/CN.4/RES/7(XIV),1958-03-28,1958,Commission on Human Rights,RECORDED,8,IRQ,IRAQ,Y
24973,E/CN.4/RES/7(XIV),1958-03-28,1958,Commission on Human Rights,RECORDED,9,ISR,ISRAEL,Y
24973,E/CN.4/RES/7(XIV),1958-03-28,1958,Commission on Human Rights,RECORDED,10,ITA,ITALY,Y
24973,E/CN.4/RES/7(XIV),1958-03-28,1958,Commission on Human Rights,RECORDED,11,LBN,LEBANON,.
24973,E/CN.4/RES/7(XIV),1958-03-28,1958,Commission on Human Rights,RECORDED,12,MEX,MEXICO,Y
